"station_name","effort_window","effort_start","effort_end","n_receiver_deployments","receivers_used","latitude","longitude"
"Canyon001",1,2018-05-28 07:31:00,2020-06-03 09:00:00,4,"112350, 112372, 119165, 123185",-27.62491667,32.67756667
"Canyon002",1,2018-05-28 05:44:00,2020-06-05 08:15:00,4,"112380, 112386, 120139, 126036",-27.83783333,32.62063333
"Canyon003",1,2018-05-28 05:00:00,2020-06-04 09:00:00,4,"112381, 119619, 126043, 131733",-27.91305,32.6181
"Canyon004",1,2018-06-26 22:35:00,2020-03-20 10:30:00,3,"112421, 119630, 126035",-30.7571,30.58046667
"Canyon005",1,2018-06-26 23:08:00,2020-03-20 09:30:00,3,"112432, 119635, 119620",-30.83208333,30.52921667
"Canyon006",1,2018-06-26 23:42:00,2020-03-20 11:30:00,3,"112438, 123186, 126029",-30.89196667,30.47
"Cape Recife",1,2015-04-21 14:00:00,2025-06-06 09:21:00,8,"3593, 128593, 112386, 131729, 119631, 119167",-34.04525,25.69281
"Cape Recife Offshore 1",1,2015-04-23,2020-03-19,10,"112432, 119097, 102856, 126027, 102287, 119102, 547154, 547144, 547845, 547844",-34.03411,25.72771
"Cape Recife Offshore 1",2,2020-08-22,2024-07-17 11:15:00,8,"547136, 547852, 547154, 547144, 547860, 547139, 547129, 547145",-34.03411,25.72771
"Cape Recife Offshore 1",3,2025-01-09 11:45:00,2025-07-02 10:31:00,1,"547168",-34.03411,25.72771
"Cape Vidal",1,2022-03-06 08:27:00,2023-09-02,1,"136527",-28.12238,32.55614
"Central 60m",1,2015-02-20,2020-03-19,10,"120141, 112434, 102851, 126042, 120133, 123202, 547151, 547131, 547861, 547137",-33.88195,25.98585
"Central 60m",2,2020-06-08,2023-11-17 08:52:00,7,"547852, 547137, 547155, 547843, 547136, 547842, 547865",-33.88195,25.98585
"Central 60m",3,2024-05-28 11:49:00,2024-11-29 09:42:00,1,"547858",-33.88195,25.98585
"Central 80m",1,2018-05-17,2020-03-19,4,"547158, 547844, 547852, 547843",-33.94755,26.12375
"Central 80m",2,2020-06-08,2022-12-01 09:31:00,5,"547860, 547846, 547131, 547151",-33.94755,26.12375
"Central 80m",3,2023-05-24 10:05:00,2024-11-29 11:40:00,4,"547862, 547164, 547858, 547866",-33.94755,26.12375
"Coega",1,2015-06-23 10:20:00,2025-04-25 09:00:00,9,"119630, 120135, 123192, 131734, 112464, 126041, 119098, 120149",-33.80017,25.69835
"DCP001",1,2022-04-22 14:10:00,2023-04-13 10:56:00,2,"547827, 546787",-27.5015,32.72483
"DEH001",1,2018-10-16 09:46:00,2025-03-19 07:18:00,11,"545741, 545671, 546757, 546759, 546769, 545678, 547834, 546758, 546781, 545740, 549811",-34.478753,20.85342701
"DEH002",1,2018-10-16 10:09:00,2020-10-06 07:14:00,4,"545744, 545672, 546787, 545741",-34.47232903,20.75938197
"DEH002",2,2021-03-31 08:16:00,2025-03-19 07:53:00,6,"545745, 545673, 547832, 547831, 546786, 545749",-34.47232903,20.75938197
"DEH003",1,2018-10-16 10:33:00,2025-03-19 08:31:00,11,"546758, 545674, 546769, 546778, 546779, 545746, 545743, 549563, 547825, 545671, 545758",-34.46748798,20.65577201
"DEH004",1,2018-10-16 10:56:00,2025-03-19 08:57:00,11,"546759, 545750, 547824, 545744, 547828, 546773, 546779, 549908, 545745, 546769",-34.486374,20.56022401
"DEH005",1,2018-10-16 11:36:00,2023-11-20 09:29:00,9,"546771, 546780, 545753, 546776, 547836, 546781, 545747, 545759, 545739",-34.53641698,20.48344896
"DEH005",2,2024-06-18 09:42:00,2025-03-19 09:26:00,1,"545741",-34.53641698,20.48344896
"DEH006",1,2018-10-16 12:05:00,2024-06-18 10:12:00,10,"546773, 546781, 547828, 547824, 547830, 545753, 549564, 546771, 545676",-34.60521899,20.434372
"DEM000",1,2021-04-25 15:19:00,2022-09-15 11:43:00,2,"549804",-34.70773,20.17085
"DEM001",1,2020-10-24 16:51:00,2021-04-02 10:33:00,1,"549804",-34.65619,20.32396
"DH001",1,2015-04-04 07:18:00,2017-02-01,1,"121842",-34.43086,20.88448
"DI002",1,2016-04-11 11:34:00,2020-01-16,4,"108813, 128107, 108886, 128116",-34.06515,18.330433
"DI1 GELDST",1,2015-11-06 08:55:00,2018-12-10 13:00:00,4,"126262",-34.67778,19.39361
"DI2 Outside Geyser",1,2015-06-11 09:05:00,2018-12-10 12:15:00,4,"126263",-34.69361,19.41277
